Title,Note,URL,Tags,Comment
Unnameable Books,,https://www.google.com/maps/place/Unnameable+Books/data=!4m2!3m1!1s0x89c25ba67aea6cc5:0x14e902e24f9afb45,🤡 Fun,
Otway,,https://www.google.com/maps/place/Otway/data=!4m2!3m1!1s0x89c25ba3368835b3:0x99380cdd468cd430,🍽️ Restaurant,
Laser Wolf Brooklyn,,https://www.google.com/maps/place/Laser+Wolf+Brooklyn/data=!4m2!3m1!1s0x89c2598475b9242f:0x3b8ea2d783344096,🍽️ Restaurant,
Crosby Street Hotel,,https://www.google.com/maps/place/Crosby+Street+Hotel/data=!4m2!3m1!1s0x89c2598f292082a5:0xf8d559645cb0dd32,🍽️ Restaurant,
I Sodi,,https://www.google.com/maps/place/I+Sodi/data=!4m2!3m1!1s0x89c259936081692b:0x56383ad400283e21,🍽️ Restaurant,
ATLA Noho,,https://www.google.com/maps/place/ATLA+Noho/data=!4m2!3m1!1s0x89c2599ab28a232d:0xc33edaada8353ffe,🍽️ Restaurant,
King,,https://www.google.com/maps/place/King/data=!4m2!3m1!1s0x89c2598d9da92d9b:0x5e7666e4a2cc60bd,🍽️ Restaurant,
Kiki's,,https://www.google.com/maps/place/Kiki's/data=!4m2!3m1!1s0x89c25a28f45aed0f:0x1edb7a4bfca2349d,🍽️ Restaurant,
Beacon's Closet,,https://www.google.com/maps/place/Beacon's+Closet/data=!4m2!3m1!1s0x89c25c0127e7d3d1:0x4a1b3cec05be4eb3,🛍️ Shopping,
Beacon's Closet,,https://www.google.com/maps/place/Beacon's+Closet/data=!4m2!3m1!1s0x89c2595d31347b73:0x4a3893c7d2de8fd0,🛍️ Shopping,
Other People's Clothes,,https://www.google.com/maps/place/Other+People's+Clothes/data=!4m2!3m1!1s0x89c25df7f2862c95:0xc263003e5ca8f9e3,🛍️ Shopping,
Other People's Clothes,,https://www.google.com/maps/place/Other+People's+Clothes/data=!4m2!3m1!1s0x89c25b05372daca7:0x22e6826209362eb2,🛍️ Shopping,
Smør Bakery,,https://www.google.com/maps/place/Sm%C3%B8r+Bakery/data=!4m2!3m1!1s0x89c259001dc78009:0x820a3fb0b4a3f226,☕️ Cafe,
Smør,,https://www.google.com/maps/place/Sm%C3%B8r/data=!4m2!3m1!1s0x89c25b007781de89:0x51d54aaf45d5717b,☕️ Cafe,
The Stumble Inn,,https://www.google.com/maps/place/The+Stumble+Inn/data=!4m2!3m1!1s0x89c258bf7f074967:0xe4312819e17a2aa3,,
Jua,,https://www.google.com/maps/place/Jua/data=!4m2!3m1!1s0x89c2594f201b387d:0xdf648c6313c51875,🍽️ Restaurant,
Goods for the Study Nolita,,https://www.google.com/maps/place/Goods+for+the+Study+Nolita/data=!4m2!3m1!1s0x89c2598f4ba6d2a1:0xc39fc2560d2e9085,🛍️ Shopping,
The Meadow - Mulberry St.,,https://www.google.com/maps/place/The+Meadow+-+Mulberry+St./data=!4m2!3m1!1s0x89c25994ab6a9741:0xc2c46992d6b4729e,🛍️ Shopping,
Tigre,,https://www.google.com/maps/place/Tigre/data=!4m2!3m1!1s0x89c259681dac821b:0xffdffafa20dec5cb,,
Frog,,https://www.google.com/maps/place/Frog/data=!4m2!3m1!1s0x89c25ba48656cfcf:0x8890239d77f2d415,,
Dutch Kills,,https://www.google.com/maps/place/Dutch+Kills/data=!4m2!3m1!1s0x89c2592a40265cc1:0x107bcc419a23d825,,
Evisu New York,,https://www.google.com/maps/place/Evisu+New+York/data=!4m2!3m1!1s0x89c259defc6e9905:0xd468c2da745db71a,🛍️ Shopping,
The ReShop,,https://www.google.com/maps/place/The+ReShop/data=!4m2!3m1!1s0x89c2596d5e56fa45:0xa842665f3fdfe0cd,🛍️ Shopping,
Juliana’s,,https://www.google.com/maps/place/Juliana%E2%80%99s/data=!4m2!3m1!1s0x89c25a30b6f90a01:0x92c313ff52121104,🍽️ Restaurant,
A Taste of Katz's,,https://www.google.com/maps/place/A+Taste+of+Katz's/data=!4m2!3m1!1s0x89c25a4cb2154dbf:0x2d3b2f258f49ec56,,
Dialogue Coffee & Flowers,,https://www.google.com/maps/place/Dialogue+Coffee+%26+Flowers/data=!4m2!3m1!1s0x89c259a845f25f8f:0x4ce01082a7ada2af,☕️ Cafe,
TUMBAO,,https://www.google.com/maps/place/TUMBAO/data=!4m2!3m1!1s0x89c25b0a04bc1191:0x1fbd156370ee51f5,🛍️ Shopping,
Aquelarre Shop,,https://www.google.com/maps/place/Aquelarre+Shop/data=!4m2!3m1!1s0x80c2b9d4aed6319f:0xb8ecb8bd1cf90e6e,🛍️ Shopping,
A Shop of Things,,https://www.google.com/maps/place/A+Shop+of+Things/data=!4m2!3m1!1s0x89c25b5ec19290c9:0x52096d34d1f1e559,🛍️ Shopping,
NO GEM,,https://www.google.com/maps/place/NO+GEM/data=!4m2!3m1!1s0x89c25b7a643187d9:0xaac3cb8801f5dff5,🛍️ Shopping,
